sample	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate	reads_pairs_raw	nucleotides_raw	reads_pairs_trimmed	nucleotides_trimmed	fraction_trimmed	reads_unpaired_trimmed	nucleotides_unpaired_trimmed	kraken_unclassified	kraken_Homo_sapiens	kraken_Bacteria	peak_location	peak_location_unclassified
Halistemma-rubrum-Mediterranean	21	95.1309	96.5799	3.42008	4.8691	155650482	165542128	134612457	143167129	21038025	22375000	26.158	86.2091	2.83827	2.83827	103993703	31406098306	103785525	30770925514	0.020224505	2628	174076	96.1	3.24	0.35	None	None
Hippopodius-hippopus	21	95.2493	96.2155	3.78454	4.75073	337513950	356274054	278697596	294188500	58816354	62085555	30.8482	89.4382	2.51207	2.51207	270605623	81722898146	266036377	73085640537	0.105689566	33821	2155318	85.75	10.99	2.61	None	None
Lilyopsis-fluoracantha	21	94.766	97.014	2.98602	5.23398	342753940	366936437	302374212	323707777	40379728	43228660	24.8932	85.8431	1.946	1.946	285295476	86159233752	282743251	80425818832	0.066544405	22078	1636116	86.68	11.18	1.38	None	None
Nanomia-bijuga-Atlantic	21	95.928	95.9868	4.0132	4.07202	710501820	712720761	316527936	317516472	393973884	395204288	66.4535	95.8843	0.240616	0.240616	313143022	94569192644	312831667	92498995049	0.021890824	2851	236309	97.93	1.04	0.63	"43,88"	"43,87"
Nanomia-Pacific	21	99.239	99.4211	0.578924	0.761045	1443866966	1453683475	913990754	920204760	529876212	533478715	42.6056	96.8583	0.453108	0.453108	290181437	87634793974	290026422	86474099796	0.013244673	3051	223772	96.96	2.06	0.52	"18,36"	"18,36"
Physalia-physalis-Pacific	21	96.9449	97.029	2.97105	3.05515	1639333833	1655617167	1063127034	1073686966	576206798	581930201	44.4788	95.704	0.429663	0.429663	670929213	2.02621E+11	663882135	1.85355E+11	0.08521306	97535	5199706	98.25	1.46	0.1	"29,57"	"29,57"
Physonect	21	94.9255	96.7855	3.21446	5.07451	306335811	326942926	269479795	287607617	36856016	39335309	24.4407	86.111	2.3364	2.3364	230563805	69630269110	229184609	65973513970	0.052516746	17277	1357570	91.42	7.18	0.86	None	None
Praya	21	95.2588	96.442	3.55801	4.74115	303481746	321204489	264066888	279487880	39414858	41716609	24.4759	86.6813	2.31731	2.31731	238886650	72143768300	235931606	66861344702	0.073220788	36440	2551310	82.37	13.15	2.79	None	None
Praya-dubia	21	95.1533	96.6305	3.36954	4.84669	424403657	451454785	376363795	400352903	48039862	51101882	22.3158	86.36	1.88495	1.88495	384583011	1.16144E+11	383255602	1.11355E+11	0.041231298	18226	1362585	79.7	14.71	3.21	None	None
Resomia-ornicephala-T845-D3	21	96.8414	100	0	3.15862	1420338967	2541099692	763258482	1365530298	657080485	1175569394	47.5085	96.2351	0.408986	0.408986	169072426	51059872652	167277750	46814267661	0.083149541	15637	852500	94.49	4.03	0.88	8	7
Resomia-ornicephala-T898-D2	21	96.3098	96.5164	3.48357	3.69018	998026552	1028085012	603585779	621764513	394440773	406320499	50.2262	96.3918	0.484618	0.484618	572564997	1.72915E+11	566160186	1.56551E+11	0.094633842	50086	3180266	89.95	6.63	2.32	27	27
Rhizophysa-eysenhardtii	21	95.4023	96.385	3.61503	4.59765	347711375	366267905	301129849	317200434	46581526	49067472	25.0856	86.111	2.75224	2.75224	239493185	72326941870	238482293	68848621128	0.048091633	10268	739347	96.02	3.71	0.12	None	None
Rhizophysa-filiformis	21	95.3412	96.3349	3.66508	4.65879	196095643	206199907	165227469	173741181	30868174	32458726	29.4806	87.1294	3.46372	3.46372	159263913	48097701726	159073318	47294749747	0.016694186	4737	476593	89.67	9.86	0.12	None	None
Rosacea-flaccida	21	94.6894	95.7715	4.22851	5.31059	154626525	161743077	126673607	132503650	27952918	29239426	30.5638	86.1476	3.22342	3.22342	101601341	30683604982	101191857	29805582035	0.028615378	4391	271545	91.88	6.17	1.21	None	None
Stephalia-dilata	21	95.265	96.2008	3.79915	4.73501	684957502	717200017	615754799	644739785	69202703	72460232	18.2135	81.818	1.43713	1.43713	220953310	66727899620	219048236	62745414918	0.059682453	20315	1246950	90.34	6.81	1.9	None	None
Stephanomia-amphytridis	21	95.3588	96.431	3.56903	4.64118	148669215	156890864	130220504	137421908	18448712	19468955	23.4472	86.2183	2.51598	2.51598	172085483	51969815866	169177559	48093222563	0.07459317	25682	1483628	57.74	36.33	3.77	None	None
