Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0072	sample_0072_summary.txt	94.7367	94.9399	5.06009	5.2633	1198858140	1215346270	694503577	704055220	504354563	511291050	52.6119	95.3319	0.324623	0.324623
0073	sample_0073_summary.txt	94.7371	94.9378	5.06219	5.26291	1199978925	1215686372	694816188	703911172	505162737	511775201	52.9624	95.6149	0.322544	0.322544
0074	sample_0074_summary.txt	94.7369	94.9353	5.06466	5.26309	1200627787	1215596844	694795313	703457806	505832475	512139038	52.2898	95.0009	0.321449	0.321449
0075	sample_0075_summary.txt	94.7481	94.9459	5.05409	5.25193	1196435275	1212326113	691213839	700394417	505221436	511931696	52.6011	95.2059	0.325944	0.325944
0076	sample_0076_summary.txt	94.7479	94.9434	5.05657	5.25214	1197415025	1212594195	691463722	700229142	505951302	512365052	52.9457	95.4852	0.324005	0.324005
0077	sample_0077_summary.txt	94.7477	94.9411	5.05892	5.25226	1197951846	1212448534	691357252	699723523	506594595	512725011	52.29	94.8898	0.323006	0.323006
0078	sample_0078_summary.txt	94.7484	94.9396	5.06043	5.25157	1198465612	1212320446	691265724	699257085	507199888	513063361	52.641	95.1783	0.321714	0.321714
0079	sample_0079_summary.txt	94.748	94.9373	5.06275	5.252	1199166060	1212436583	691380214	699031346	507785846	513405238	52.9778	95.4498	0.320163	0.320163
0080	sample_0080_summary.txt	94.7477	94.9351	5.0649	5.25232	1199583531	1212301342	691262795	698591464	508320735	513709878	53.309	95.713	0.318892	0.318892
0081	sample_0081_summary.txt	94.7474	94.9331	5.06689	5.25255	1199848088	1212047347	691000824	698026462	508847264	514020885	52.6724	95.1314	0.31807	0.31807
0082	sample_0082_summary.txt	94.7476	94.9316	5.06843	5.25239	1200159763	1211877401	690807638	697552268	509352125	514325133	53.0101	95.4056	0.316982	0.316982
0083	sample_0083_summary.txt	94.7476	94.93	5.07002	5.25238	1200377023	1211645871	690539481	697022098	509837542	514623773	53.3374	95.6661	0.315997	0.315997
0084	sample_0084_summary.txt	94.7475	94.9283	5.07167	5.25253	1200537212	1211391042	690229809	696470046	510307404	514920996	52.709	95.0917	0.315226	0.315226
0085	sample_0085_summary.txt	94.7474	94.9268	5.07318	5.25261	1200631422	1211098408	689905221	695919747	510726201	515178662	53.041	95.3601	0.314402	0.314402
0086	sample_0086_summary.txt	94.7475	94.9256	5.07445	5.2525	1200623789	1210731230	689485104	695289529	511138685	515441701	53.3636	95.6145	0.313665	0.313665
0087	sample_0087_summary.txt	94.7554	94.9327	5.06733	5.24458	1197700453	1208349189	686886249	692993344	510814204	515355845	52.7135	94.9849	0.316781	0.316781
0088	sample_0088_summary.txt	94.7554	94.9312	5.06877	5.24462	1197720526	1207996296	686496054	692385804	511224472	515610491	53.0389	95.2406	0.316004	0.316004
0089	sample_0089_summary.txt	94.7553	94.9298	5.07015	5.24471	1197705233	1207637402	686090239	691779756	511614993	515857645	53.3558	95.4888	0.315256	0.315256
0090	sample_0090_summary.txt	94.7547	94.9283	5.07171	5.24528	1197551428	1207186763	685612100	691128441	511939328	516058322	52.7507	94.9325	0.314731	0.314731
0091	sample_0091_summary.txt	94.7539	94.9266	5.07343	5.24611	1197363129	1206724676	685122538	690479148	512240591	516245528	53.077	95.1928	0.314127	0.314127
0092	sample_0092_summary.txt	94.7535	94.9253	5.07473	5.2465	1197133736	1206238850	684587623	689794433	512546114	516444417	53.3897	95.4344	0.313597	0.313597
0093	sample_0093_summary.txt	94.7526	94.9236	5.07638	5.24737	1196899913	1205768069	684093493	689162127	512806420	516605942	53.6948	95.6702	0.313092	0.313092
0094	sample_0094_summary.txt	94.7524	94.9225	5.07749	5.24764	1196630069	1205276470	683536367	688475345	513093701	516801124	53.1118	95.1364	0.312696	0.312696
0095	sample_0095_summary.txt	94.7522	94.9215	5.07849	5.24783	1196312410	1204751034	682956183	687773663	513356227	516977372	53.4158	95.3703	0.312298	0.312298
0096	sample_0096_summary.txt	94.7518	94.9204	5.07964	5.24824	1195998493	1204243681	682409057	687113571	513589436	517130110	53.7136	95.5997	0.311933	0.311933
0097	sample_0097_summary.txt	94.7573	94.9253	5.07472	5.24273	1193730988	1202316952	680436299	685330368	513294689	516986584	53.1203	95.0367	0.314217	0.314217
0098	sample_0098_summary.txt	94.7568	94.9241	5.07589	5.24316	1193465042	1201847777	679906244	684681813	513558797	517165964	53.4255	95.2793	0.313806	0.313806
0099	sample_0099_summary.txt	94.7565	94.9231	5.0769	5.24346	1193186524	1201380278	679370922	684036243	513815602	517344035	53.7196	95.5037	0.313356	0.313356
0100	sample_0100_summary.txt	94.7557	94.9217	5.07833	5.24429	1192906318	1200927007	678869599	683434083	514036719	517492924	53.154	94.9817	0.312958	0.312958
